marker_id,focus,corner_x,corner_y,corner_x_norm,corner_y_norm
9,8.0,2453.5195,1107.2017,0.044537734,-0.056237806
9,9.0,2459.57,1109.9634,0.046340022,-0.055415165
9,10.0,2456.112,1108.9688,0.045309976,-0.055711437
10,0.5,2457.2744,1509.7378,0.045656208,0.063666575
10,1.0,2459.1973,1508.0618,0.046228975,0.06316733
10,2.0,2466.0623,1505.7177,0.048273865,0.062469088
10,3.0,2462.311,1509.264,0.04715648,0.06352546
10,4.0,2460.0752,1514.4692,0.046490483,0.06507594
10,5.0,2460.886,1517.6875,0.046731997,0.06603458
10,6.0,2461.7014,1519.4808,0.04697489,0.06656876
10,7.0,2464.7358,1518.9569,0.04787876,0.066412695
10,8.0,2466.2637,1519.7964,0.04833386,0.06666275
10,9.0,2475.2354,1517.2585,0.051006276,0.0659068
10,10.0,2476.6313,1517.4573,0.051422104,0.065965995
11,2.0,2465.7998,1926.6619,0.048195686,0.18785673
11,3.0,2467.5347,1930.7797,0.048712455,0.18908331
11,4.0,2471.4146,1940.4575,0.049868163,0.19196607
11,5.0,2473.024,1947.301,0.05034755,0.19400457
11,6.0,2473.7744,1951.7693,0.050571103,0.19533554
11,7.0,2473.5583,1954.1915,0.050506745,0.19605705
11,8.0,2473.284,1955.2864,0.050425004,0.19638318
11,9.0,2469.955,1959.7092,0.04943343,0.19770062
12,0.5,2047.5602,759.6657,-0.07638633,-0.15975915
12,1.0,2049.0981,760.7843,-0.07592821,-0.15942596
12,2.0,2049.4966,759.49194,-0.07580953,-0.15981092
12,3.0,2046.6179,753.0519,-0.076667,-0.16172923
12,4.0,2041.9584,746.11646,-0.07805495,-0.1637951
12,5.0,2039.0969,740.8887,-0.0789073,-0.16535231
12,6.0,2038.0925,738.0266,-0.07920648,-0.16620484
12,7.0,2038.947,735.89417,-0.078951955,-0.16684003
12,8.0,2039.8439,733.978,-0.07868481,-0.1674108
12,9.0,2040.7339,732.19464,-0.07841969,-0.16794202
13,0.5,2045.7091,1123.4889,-0.07693771,-0.05138629
13,1.0,2047.1372,1121.4303,-0.07651232,-0.051999487
13,2.0,2047.4293,1120.5054,-0.07642531,-0.052274995
13,3.0,2045.7196,1119.6188,-0.07693458,-0.052539088
13,4.0,2040.1917,1121.2451,-0.078581214,-0.052054647
13,5.0,2036.9542,1119.9158,-0.07954555,-0.052450623
13,6.0,2035.0881,1118.6497,-0.08010141,-0.05282776
13,7.0,2036.083,1115.134,-0.07980506,-0.05387497
13,8.0,2036.6062,1109.6299,-0.07964922,-0.055514503
13,9.0,2031.3425,1105.845,-0.08121712,-0.056641925
13,10.0,2028.5457,1103.6427,-0.082050234,-0.05729792
14,2.0,2042.0737,1521.4427,-0.078020595,0.06715316
14,3.0,2045.2926,1521.8761,-0.07706178,0.067282245
14,4.0,2038.7205,1521.8062,-0.07901944,0.067261405
14,5.0,2035.5692,1524.46,-0.07995811,0.068051904
14,6.0,2033.5057,1525.9952,-0.08057276,0.06850922
14,7.0,2033.2969,1527.9441,-0.080634974,0.06908973
14,8.0,2033.818,1530.7592,-0.08047975,0.06992826
14,9.0,2035.0432,1542.4885,-0.08011479,0.07342211
14,10.0,2028.1886,1545.701,-0.08215659,0.074379034
15,2.0,2043.4835,1933.766,-0.07760066,0.18997285
15,3.0,2042.2844,1937.6917,-0.07795783,0.1911422
15,4.0,2037.4429,1946.5887,-0.079399996,0.19379239
15,5.0,2034.2854,1953.5597,-0.08034052,0.19586885
15,6.0,2032.5767,1957.874,-0.080849506,0.19715397
15,7.0,2032.2488,1960.7603,-0.080947176,0.1980137
15,8.0,2032.63,1963.6885,-0.080833614,0.19888593
15,9.0,2033.3331,1967.0322,-0.08062418,0.19988194
16,0.5,1663.7988,764.82056,-0.19069822,-0.15822366
16,1.0,1658.9519,753.2124,-0.192142,-0.16168141
16,2.0,1658.5216,754.1994,-0.19227016,-0.16138741
16,3.0,1653.1805,755.90576,-0.19386111,-0.16087914
16,4.0,1645.2688,752.1808,-0.1962178,-0.1619887
16,5.0,1639.4893,748.1346,-0.19793937,-0.16319396
16,6.0,1635.5222,744.3234,-0.19912104,-0.1643292
16,7.0,1636.0283,737.4417,-0.19897029,-0.16637906
16,8.0,1618.7197,736.1807,-0.20412605,-0.16675468
17,0.5,1649.425,1134.2489,-0.19497977,-0.04818118
17,1.0,1645.3835,1134.1643,-0.19618362,-0.048206378
17,2.0,1651.0201,1136.6173,-0.19450463,-0.047475696
17,3.0,1641.2867,1133.0791,-0.19740395,-0.04852963
17,4.0,1632.575,1129.9486,-0.19999896,-0.049462117
17,5.0,1626.0156,1128.2915,-0.2019528,-0.049955722
17,6.0,1622.1487,1127.8762,-0.20310465,-0.050079424
17,7.0,1619.7909,1128.998,-0.20380697,-0.04974526
17,8.0,1616.4869,1131.4248,-0.20479113,-0.0490224
18,2.0,1634.4702,1521.2852,-0.1994344,0.06710622
18,3.0,1627.243,1524.2244,-0.20158719,0.06798173
18,4.0,1618.3015,1528.5732,-0.20425062,0.06927714
18,5.0,1611.4347,1530.8434,-0.20629606,0.06995335
18,6.0,1607.1776,1532.138,-0.20756412,0.070338964
18,7.0,1604.6016,1531.941,-0.20833145,0.07028031
18,8.0,1601.686,1531.211,-0.2091999,0.07006287
19,2.0,1609.0189,1947.6807,-0.20701565,0.19411765
19,3.0,1610.7593,1947.9747,-0.20649724,0.19420524
19,4.0,1602.535,1954.258,-0.20894702,0.19607687
19,5.0,1596.1223,1960.4215,-0.21085718,0.1979128
19,6.0,1591.4259,1964.7676,-0.21225612,0.19920737
19,7.0,1587.9712,1968.6074,-0.21328518,0.20035115
20,0.5,1275.8584,771.11755,-0.30625495,-0.15634796
20,1.0,1276.0231,769.05334,-0.3062059,-0.15696284
20,2.0,1272.3242,771.3299,-0.3073077,-0.15628472
20,3.0,1259.3716,764.85626,-0.31116593,-0.15821303
20,4.0,1248.7507,759.0476,-0.31432956,-0.15994327
20,5.0,1240.8328,755.1463,-0.31668812,-0.16110536
20,6.0,1234.928,752.43744,-0.318447,-0.16191225
20,7.0,1229.8064,750.9045,-0.31997257,-0.16236888
21,0.5,1248.8698,1139.9012,-0.31429413,-0.0464975
21,1.0,1244.4524,1138.1973,-0.31560993,-0.04700507
21,2.0,1237.919,1136.7267,-0.31755605,-0.047443114
21,3.0,1235.3604,1134.9806,-0.3183182,-0.047963228
21,4.0,1223.4259,1135.2345,-0.32187313,-0.047887597
21,5.0,1214.6798,1133.9387,-0.32447836,-0.048273575
21,6.0,1208.5542,1132.5128,-0.326303,-0.04869831
21,7.0,1204.9626,1128.9619,-0.32737282,-0.049756028
22,0.5,1222.236,1524.8665,-0.3222276,0.068172984
22,1.0,1217.9073,1530.098,-0.32351696,0.069731325
22,2.0,1207.5815,1531.8208,-0.32659274,0.07024449
22,3.0,1208.5277,1534.4893,-0.3263109,0.07103936
22,4.0,1196.1167,1535.6504,-0.3300078,0.07138523
22,5.0,1186.9587,1537.4441,-0.3327357,0.071919516
22,6.0,1180.6823,1539.2068,-0.33460528,0.07244457
22,7.0,1177.3308,1542.3052,-0.3356036,0.0733675
23,2.0,1193.0844,1949.1462,-0.33091104,0.1945542
23,3.0,1179.1752,1955.536,-0.33505422,0.19645754
23,4.0,1166.9624,1962.8092,-0.33869204,0.19862401
23,5.0,1157.7288,1968.2554,-0.3414425,0.20024629
23,6.0,1150.6797,1972.1666,-0.34354222,0.20141134
23,7.0,1144.6481,1975.2695,-0.34533888,0.20233561
