img,kamera,pfad,t1,t2,t3,r1,r2,r3
0,0,../../bilderserien/wuerfel7/camera01.jpg,3.2110194382536794,9.561402938473913,66.67475290499382,2.324562216218454,-0.9653635705477819,0.2979208157318164
1,1,../../bilderserien/wuerfel7/camera02.jpg,1.5456036917327287,23.71554548360354,48.08303919728388,1.8867034157666247,-0.7992374569246742,0.4978718848158492
2,2,../../bilderserien/wuerfel7/camera03.jpg,1.605644687433065,4.808200078327473,34.23633201897956,1.6689963058216335,-0.7047281488742801,0.5829249730303874
3,3,../../bilderserien/wuerfel7/camera04.jpg,1.0767959259865656,14.443962551906477,76.5478540102876,2.5234094938156546,-0.018481121522391418,0.0006172778838233107
4,4,../../bilderserien/wuerfel7/camera05.jpg,1.1124531399364461,18.48523377609243,47.784356683996215,2.0774401166818146,-0.009277009124770006,0.004993253192965885
5,5,../../bilderserien/wuerfel7/camera06.jpg,1.5960926513671703,12.380497494901633,29.95334473723386,1.3805592744584034,-0.012725013667887594,0.005635613778135269
6,6,../../bilderserien/wuerfel7/camera07.jpg,3.2318818928275137,17.426949845537482,73.17767231716607,2.318316480723892,0.9575608768417514,-0.3755657173921648
7,7,../../bilderserien/wuerfel7/camera08.jpg,1.9648206575855733,16.639794562001093,46.37137850742759,1.9604775792820435,0.7941239951807092,-0.4975164280180997
8,8,../../bilderserien/wuerfel7/camera09.jpg,0.5214435230810167,18.405373223249086,31.010870449756677,1.451252820952652,0.5977533216426894,-0.629506937331071
9,9,../../bilderserien/wuerfel7/camera10.jpg,1.1941257636165852,14.261254278124378,66.70810620163653,1.825383814696355,1.8179541499032712,-0.6747211066033331
10,10,../../bilderserien/wuerfel7/camera11.jpg,0.24872364786897702,36.21138827001806,38.48291982753539,1.3350674818750696,1.3218673922344117,-1.1214900889481512
11,11,../../bilderserien/wuerfel7/camera12.jpg,-0.11257968625162587,10.02609223559238,30.91517907059501,1.1548097262880894,1.142173694117954,-1.2304182847695817
12,12,../../bilderserien/wuerfel7/camera13.jpg,1.2286619410921584,17.10480977026109,75.3928559452846,1.062096533518817,2.553407550329946,-0.8834294804245684
13,13,../../bilderserien/wuerfel7/camera14.jpg,-1.5509826721716602,19.860042897515935,44.94411839587419,0.9048854755648826,2.143543475742335,-1.3647210698328298
14,14,../../bilderserien/wuerfel7/camera15.jpg,-1.119997296013014,9.271951442171746,31.072405902601172,0.6879838922900854,1.6486594565490347,-1.8109983629565134
15,15,../../bilderserien/wuerfel7/camera16.jpg,1.8506305461527315,10.48913359478075,72.31328838610602,0.05595594700805779,-2.9773785195307387,0.939306843620939
16,16,../../bilderserien/wuerfel7/camera17.jpg,0.2996354066656261,25.67175811044243,37.66014819699369,0.04692649234665867,-2.4042108026761455,2.018400508555712
17,17,../../bilderserien/wuerfel7/camera18.jpg,-1.2100281803269215,16.00152248328058,29.967081395301722,-0.0502032282586271,1.988278225029454,-2.3878950728391573
18,18,../../bilderserien/wuerfel7/camera19.jpg,-0.2676948026937503,21.780581105165787,73.38424160781062,1.031439506677128,-2.5023927289728345,0.9692601217725206
19,19,../../bilderserien/wuerfel7/camera20.jpg,0.35158577135696323,24.686695166848214,46.765001392497595,0.8601278298829675,-2.149633421184943,1.4259948509225928
20,20,../../bilderserien/wuerfel7/camera21.jpg,-0.0962172618149575,10.986462503710369,36.198495917375276,0.8253063727340683,-1.9785385430183073,1.6031200538009291
21,21,../../bilderserien/wuerfel7/camera22.jpg,1.871445625265809,21.05299781576184,69.9104407087483,1.7781533222345303,-1.7630111143451006,0.7006730310991349
22,22,../../bilderserien/wuerfel7/camera23.jpg,-1.1814196757622595,26.12467409809834,39.18411128790969,1.3490442176240447,-1.3901372117944368,1.1526504161096773
23,23,../../bilderserien/wuerfel7/camera24.jpg,1.7345042092833147,10.246137950393791,33.2585943045018,1.2297234927089453,-1.2163146565902787,1.1794860332121913
24,0,../../bilderserien/wuerfel8/camera01.jpg,2.665445206475873,41.41762627973314,59.68072435783012,1.9561810628499774,-0.8012687762579316,0.4549796392847893
25,1,../../bilderserien/wuerfel8/camera02.jpg,1.460767827200912,26.09486812013816,51.33839856547063,1.922889202650378,-0.8144612344619144,0.48581444254691486
26,2,../../bilderserien/wuerfel8/camera03.jpg,1.1808491084648989,13.09737588464054,31.14580566455396,1.3592561214499872,-0.566572609127143,0.661724983236207
27,3,../../bilderserien/wuerfel8/camera04.jpg,0.9964927788681414,35.366790374339494,58.218085163413136,2.113251832717075,-0.016022486684176832,-0.0003040314838639902
28,4,../../bilderserien/wuerfel8/camera05.jpg,0.7102670367664147,39.54940657892595,41.6820903924118,1.785812384958915,-0.0009378988481629669,0.0019199318659101415
29,5,../../bilderserien/wuerfel8/camera06.jpg,1.6192971353065573,12.360260534354518,30.01002807202066,1.3811040299632975,-0.012556981680466853,0.005315139213285347
30,6,../../bilderserien/wuerfel8/camera07.jpg,2.936491585329778,23.211475804981404,64.6588093870806,2.18059767429103,0.9019656437273798,-0.4291076399136152
31,7,../../bilderserien/wuerfel8/camera08.jpg,1.920152536658752,30.29032428016541,39.76655904504289,1.700649027035523,0.6947206800599408,-0.5800732582206747
32,8,../../bilderserien/wuerfel8/camera09.jpg,1.1016501888312893,1.8010522895426435,32.761935734854,1.7248253147781578,0.6996350424440781,-0.5523532876271386
33,9,../../bilderserien/wuerfel8/camera10.jpg,0.5979412446765782,35.39836943120943,55.63927693517441,1.5746127134157777,1.576554073098,-0.9262894964443645
34,10,../../bilderserien/wuerfel8/camera11.jpg,0.4138459833356457,42.98952919690679,34.364728947465444,1.2573268098750587,1.2385362251659437,-1.164368304779079
