kamera,typ,fx,fy,cx,cy,d1,d2,d3,d4,d5
0,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
1,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
2,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
3,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
4,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
5,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
6,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
7,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
8,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
9,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
10,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
11,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
12,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
13,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
14,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
15,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
16,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
17,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
18,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
19,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
20,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
21,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
22,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
23,0,3432.032549028791,3433.3363905803985,2290.7396721484192,1259.7331230863495,0.09969250425592134,-0.2592009251889102,-0.001513632323667697,-0.002650825501124233,0.20280782837647304
