marker,ecke,x,y,z
26,0,2.1196799278259277,-2.8928661346435547,4.86126708984375
26,1,2.174389123916626,-2.8353638648986816,1.0272064208984375
26,2,-1.767210602760315,-2.8550801277160645,1.0879532098770142
26,3,-1.8363784551620483,-2.9668588638305664,4.808150768280029
28,0,3.2146526631929704,-1.7856648886513364,4.703924598898196
28,1,3.260041847389566,2.1526300948835475,4.637011310709459
28,2,3.277507367869334,2.116832056632345,0.7959820174761448
28,3,3.194820077795145,-1.8185798057526223,0.7631906399322624
30,0,-1.626708547862203,-1.7321624968464115,5.439470554504191
30,1,-1.606262598161049,2.2068851415234723,5.450078496085047
30,2,2.223057536891175,2.1616308274245895,5.39740850319046
30,3,2.226106184026589,-1.756133721614078,5.434264907151013
31,0,-2.4001467870235906,-1.7195129811197616,0.6178786080513821
31,1,-2.2921202610497606,2.1965867699641985,0.5876556147088542
31,2,-2.38324063252815,2.2016512655711686,4.515565831636386
31,3,-2.4592615106354088,-1.7348839198270294,4.5247075219402495
27,0,-1.5635105185444953,3.1546510227094005,0.7397858677227714
27,1,2.4006797433817315,3.128277065461824,0.7173688973062868
27,2,2.3500633918070752,3.102883512120271,4.583405925120879
27,3,-1.5892140428063755,3.096208455469377,4.555521472801288
29,0,2.0,-2.0,0.0
29,1,2.0,2.0,0.0
29,2,-2.0,2.0,0.0
29,3,-2.0,-2.0,0.0
24,0,-3.4051488984855895,-5.937756374466018,-0.033982470306832754
24,1,3.6124735480953123,-5.965074873687825,-0.11120683306759216
24,2,3.5882916832080496,-13.048593921397101,-0.05570605279076081
24,3,-3.4173538283927,-13.028911027409185,-0.008680162186047106
3,0,20.842539613907846,31.01413432725446,5.644746356263079
3,1,20.86627597530939,30.998734047938505,2.3100496256709597
3,2,17.70908030184702,32.12671901574019,2.298527683321968
3,3,17.68343664169688,32.13742181272077,5.636363923889919
5,0,-30.38464860649442,-21.210068803618853,17.476483624927504
5,1,-28.04647827671827,-23.590218135768673,17.49521573520347
5,2,-27.919257863171456,-23.44396854614255,20.82534562397572
5,3,-30.25593628615256,-21.05872511355466,20.812743533173222
1,0,-6.222309515062138,-35.78891015032675,17.446910383810106
1,1,-2.880427084730493,-35.840108408040344,17.468187847447172
1,2,-2.8983074983131862,-35.77855436844673,20.822523726345295
1,3,-6.240782745813181,-35.71999516093796,20.802650915064703
6,0,10.218805265454296,-36.40832036694594,5.969939335232761
6,1,10.144008882327991,-36.407296457173196,2.6779445403914397
6,2,13.351913106166693,-35.63482332794975,2.6515111767859767
6,3,13.456511836164598,-35.68994389413837,5.930029435541065
11,0,-19.670621797578747,-32.83382117072629,6.152303305715335
11,1,-19.638927730146225,-32.86593480817876,2.8239802392678897
11,2,-16.72115586993466,-34.48785387552143,2.8823732965398627
11,3,-16.746803208761783,-34.460032467855925,6.208093554277834
15,0,31.224122534874272,-19.354618920972374,5.854490024620532
15,1,31.222449925144865,-19.362115418015467,2.523009405400728
15,2,33.135644418096305,-16.612312553938988,2.5158985889267345
15,3,33.14495026342651,-16.61088531945941,5.850221631831575
7,0,33.1253544541318,16.796575436945833,5.643105778360657
7,1,33.12592235743076,16.824804208161417,2.309910682854741
7,2,31.0211448553163,19.421185987588164,2.3583951311001856
7,3,31.013929949656408,19.38115119117147,5.6912646083671605
9,0,28.62330430083253,21.733426407925656,16.87690466916928
9,1,26.28640243405469,24.119575291926527,16.94928871874877
9,2,26.389220165467904,24.12045428773802,20.306088576323834
9,3,28.720695485521606,21.727925424473128,20.23965095107029
10,0,35.330360666295384,-5.199697628074462,16.709031788049657
10,1,35.39784061902574,-1.8588665061551184,16.69993445481249
10,2,35.158411381346795,-1.850007735019488,20.052666389930266
10,3,35.102692986718715,-5.192212133321212,20.061379100187374
12,0,-36.85557331386434,5.955446760614365,19.45685417643167
12,1,-36.89852056126904,2.6190611040077916,19.45886419270626
12,2,-36.8232753537187,2.621267138769983,22.798456153737742
12,3,-36.78704110222636,5.959235751696912,22.820231969621535
4,0,-35.927316655964596,-15.097096376315143,6.087076780377103
4,1,-35.920386196859525,-15.11845508970026,2.757955170296254
4,2,-33.92328409183232,-17.807703179393393,2.785804428324061
4,3,-33.932277754207156,-17.782912077869454,6.10397289190782
0,0,-30.620736960935893,-21.21128987057158,32.69409635013738
0,1,-28.290038433210256,-23.59920995848593,32.706640034869686
0,2,-27.990315002715,-23.2984013231236,36.04195471510871
0,3,-30.329426815586242,-20.907269416249292,36.03711736665845
8,0,-21.986248579582,30.041768732164925,25.251580838337862
8,1,-24.43032228853456,27.769715605068075,25.288717903378725
8,2,-24.28175562965416,27.667343564519797,28.634583691148926
8,3,-21.83917708275281,29.94172415839375,28.603328173906338
2,0,4.918456095024488,36.1163159468849,16.7604595475975
2,1,1.586078758728302,36.095534381114504,16.73533983999692
2,2,1.5778319525515827,36.43553809179406,20.05609211573186
2,3,4.9123886937159575,36.448544673467545,20.08107341726249
