img,kamera,pfad,t1,t2,t3,r1,r2,r3
0,0,../../bilderserien/wuerfel/camera01.jpg,3.275630055240034,9.500268988272708,66.79056333764248,2.3237426088195634,-0.9632446422101754,0.29351918000157273
1,0,../../bilderserien/wuerfel/camera02.jpg,1.5643612467317132,23.69307107099893,48.13069231017133,1.8866014591313556,-0.7994236062854664,0.497065475933105
2,0,../../bilderserien/wuerfel/camera03.jpg,1.1979981834012474,5.042710655832763,34.3526497405833,1.6802632953261625,-0.6973999722772461,0.5728371648860132
3,0,../../bilderserien/wuerfel/camera04.jpg,1.1995396455157343,14.343888662686581,76.6203573080271,2.524946755144048,-0.018477841512976944,0.0012672947813356732
4,0,../../bilderserien/wuerfel/camera05.jpg,1.1403882348955858,18.409900675979497,47.87442277881643,2.07787367821555,-0.009719180328005193,0.0039817373654077
5,0,../../bilderserien/wuerfel/camera06.jpg,1.5879149461814854,12.384551692621825,30.042940154405812,1.3805455865581024,-0.01244235286070155,0.005121677607991223
6,0,../../bilderserien/wuerfel/camera07.jpg,3.2512490155150213,17.344966172603215,73.24760972351291,2.319237500460481,0.9595353065435092,-0.3796984225321185
7,0,../../bilderserien/wuerfel/camera08.jpg,2.027867244072293,16.58393045493196,46.435528528517516,1.9604818349957174,0.7948774821936129,-0.49900037868292707
8,0,../../bilderserien/wuerfel/camera09.jpg,0.5796415007227512,18.366105207609696,31.136389420779153,1.4512498246272016,0.5964976777255541,-0.6276911864223357
9,0,../../bilderserien/wuerfel/camera10.jpg,1.2468699449807772,14.320063258488926,66.58860960915231,1.8252470812111126,1.8174786042877982,-0.6757434879637827
10,0,../../bilderserien/wuerfel/camera11.jpg,0.2530214456954571,36.137815094054496,38.78983361102864,1.3363216472359272,1.3234335065848568,-1.1221276204110513
11,0,../../bilderserien/wuerfel/camera12.jpg,-0.14794558589735005,10.02033254694859,31.04731252761709,1.1532357252948717,1.1424480101138919,-1.2311332778929163
12,0,../../bilderserien/wuerfel/camera13.jpg,1.4366443049262871,17.20916709195646,75.34626755477012,1.0610927311077498,2.5509177111358294,-0.8915697719824607
13,0,../../bilderserien/wuerfel/camera14.jpg,-1.6510577052859488,19.834715505752904,44.918133522747695,0.9022002162904448,2.1445705719367063,-1.367341867134912
14,0,../../bilderserien/wuerfel/camera15.jpg,-1.1418773461408034,9.222444168578116,31.107453879558904,0.6857656612222001,1.6476133551068075,-1.813420449316299
15,0,../../bilderserien/wuerfel/camera16.jpg,1.8584400028600245,10.419440969717783,72.34315518072835,0.05558779770278627,-2.9767919813875174,0.9403479568803719
16,0,../../bilderserien/wuerfel/camera17.jpg,0.3055492944930683,25.738802758772913,37.64738348968576,0.04669112170797689,-2.4048723859930807,2.019204312510905
17,0,../../bilderserien/wuerfel/camera18.jpg,-1.1709763404259406,15.99900962358414,29.940601964438383,-0.0523222133030356,1.9881407915361948,-2.3883137475528713
18,0,../../bilderserien/wuerfel/camera19.jpg,-0.14331491952152298,21.816409349508202,73.43612354982993,1.0320519035289,-2.498743608851041,0.967299130471533
19,0,../../bilderserien/wuerfel/camera20.jpg,0.39683755813628413,24.658395793936734,46.79062435733944,0.8595762426182685,-2.151741626326861,1.4252622952716296
20,0,../../bilderserien/wuerfel/camera21.jpg,-0.07007179837229054,10.914830842947294,36.2719631797836,0.8254954360829938,-1.9800926180551672,1.6015175898066991
21,0,../../bilderserien/wuerfel/camera22.jpg,1.9173227720912267,20.983442130171223,69.93750879951865,1.7809562261540417,-1.7599692192906224,0.6911234200058324
22,0,../../bilderserien/wuerfel/camera23.jpg,-1.1433708104890705,26.143022184818573,39.210136911850945,1.3491209982420385,-1.3895311389880476,1.1520499815280703
23,0,../../bilderserien/wuerfel/camera24.jpg,1.7732890329986848,10.28725377336538,33.28181386640053,1.2300349162865922,-1.2152055657866416,1.1783657248421626
