marker,ecke,x,y,z
0,0,-7.706244945526123,8.038812637329102,-0.07637366652488708
0,1,7.754053115844727,7.719291687011719,-0.4002067446708679
0,2,7.643609046936035,-7.953652858734131,-0.27356842160224915
0,3,-7.907842636108398,-8.127715110778809,-0.16760283708572388
27,0,-29.97650718688965,7.519379615783691,0.16798122227191925
27,1,-27.257524490356445,14.225998878479004,0.060675665736198425
27,2,-20.55345916748047,11.50146484375,0.06238837540149689
27,3,-23.266441345214844,4.788288593292236,0.25845620036125183
24,0,-15.43310832977295,26.91769027709961,-0.10999257117509842
24,1,-8.642805099487305,29.393400192260742,-0.25601962208747864
24,2,-6.140003204345703,22.59687614440918,-0.2303059846162796
24,3,-12.918617248535156,20.112728118896484,-0.1090087890625
23,0,-25.140409469604492,-2.7344393730163574,0.9020767211914062
23,1,-28.04669761657715,-2.615417957305908,2.6452701091766357
23,2,-27.909250259399414,0.7731178402900696,2.6208412647247314
23,3,-25.010404586791992,0.6654989123344421,0.8775184750556946
18,0,-20.7091064453125,17.104032516479492,0.6096651554107666
18,1,-22.895551681518555,19.033634185791016,2.3192431926727295
18,2,-20.659456253051758,21.60670280456543,2.257648229598999
18,3,-18.45892333984375,19.674110412597656,0.5603501200675964
30,0,-4.1403069496154785,-18.474050521850586,0.1258516013622284
30,1,-4.54950475692749,-11.276262283325195,0.12636364996433258
30,2,2.7076303958892822,-10.902440071105957,-0.00011737104796338826
30,3,3.118927240371704,-18.070146560668945,0.05268022418022156
29,0,-27.19205665588379,-14.933453559875488,0.4993666410446167
29,1,-28.164670944213867,-7.854653358459473,0.3805146813392639
29,2,-21.07285499572754,-7.0969648361206055,0.16316965222358704
29,3,-20.0285587310791,-14.032085418701172,0.41838759183883667
28,0,-11.09237289428711,-35.623985290527344,0.6156928539276123
28,1,-17.876178741455078,-33.04411315917969,0.6167157292366028
28,2,-15.307212829589844,-26.250869750976562,0.5119600296020508
28,3,-8.52344799041748,-28.823503494262695,0.5405350923538208
22,0,16.56585121154785,19.2204532623291,0.27283936738967896
22,1,18.78553009033203,21.189157485961914,1.9209187030792236
22,2,21.04909896850586,18.607067108154297,1.937351107597351
22,3,18.83002281188965,16.651254653930664,0.2752445638179779
20,0,0.8023814558982849,-30.526424407958984,1.120843768119812
20,1,0.8159368634223938,-33.43203353881836,2.8454039096832275
20,2,-2.6002449989318848,-33.4312858581543,2.8745694160461426
20,3,-2.620800018310547,-30.512752532958984,1.1382005214691162
8,0,-37.89701843261719,4.010530948638916,26.68268585205078
8,1,-37.85995101928711,0.63674396276474,26.767562866210938
8,2,-37.62264633178711,0.7509726285934448,30.14865493774414
8,3,-37.664920806884766,4.11570405960083,30.031591415405273
2,0,-23.572633743286133,28.229387283325195,17.48784065246582
2,1,-25.927736282348633,25.80109214782715,17.551311492919922
2,2,-26.099414825439453,26.063289642333984,20.938756942749023
2,3,-23.715696334838867,28.46430015563965,20.905210494995117
17,0,-21.678911209106445,-21.771146774291992,1.1934086084365845
17,1,-23.71833610534668,-23.865642547607422,2.9382894039154053
17,2,-26.162248611450195,-21.470041275024414,2.9560744762420654
17,3,-24.147676467895508,-19.37755584716797,1.195440649986267
12,0,-30.804183959960938,-23.329408645629883,21.02472496032715
12,1,-28.43035125732422,-25.751277923583984,21.009830474853516
12,2,-28.28495216369629,-25.65291404724121,24.397323608398438
12,3,-30.66037940979004,-23.22940444946289,24.427814483642578
5,0,-6.050670623779297,-38.10792541503906,18.836023330688477
5,1,-2.652155876159668,-38.05691146850586,18.787012100219727
5,2,-2.6025445461273193,-37.794029235839844,22.20569610595703
5,3,-6.003157615661621,-37.8236198425293,22.27417755126953
21,0,-3.0672128200531006,25.64190673828125,0.5120447874069214
21,1,-3.2127127647399902,28.55230712890625,2.1916611194610596
21,2,0.19443167746067047,28.779905319213867,2.1488285064697266
21,3,0.3594246208667755,25.850488662719727,0.4484139382839203
10,0,28.60100746154785,21.592798233032227,20.971662521362305
10,1,26.184494018554688,23.98873519897461,20.955686569213867
10,2,26.04827308654785,23.83017349243164,24.382707595825195
10,3,28.479658126831055,21.508255004882812,24.397851943969727
1,0,21.394840240478516,-30.775537490844727,18.306119918823242
1,1,23.812175750732422,-28.38901710510254,18.252954483032227
1,2,23.7708683013916,-28.308990478515625,21.658912658691406
1,3,21.35559844970703,-30.67564582824707,21.718460083007812
9,0,3.8287360668182373,35.551612854003906,17.462827682495117
9,1,0.4253202974796295,35.59040451049805,17.543195724487305
9,2,0.5417749285697937,35.658164978027344,20.972990036010742
9,3,3.926370143890381,35.6332893371582,20.886857986450195
19,0,13.137415885925293,-23.58878517150879,0.7580729722976685
19,1,14.626364707946777,-26.11994743347168,2.5647616386413574
19,2,11.627828598022461,-27.84178924560547,2.626995801925659
19,3,10.109626770019531,-25.309350967407227,0.8738960027694702
26,0,4.763888359069824,31.690540313720703,-0.20243816077709198
26,1,11.976764678955078,32.07679748535156,-0.31419575214385986
26,2,12.328734397888184,24.856359481811523,-0.3211895823478699
26,3,5.113293170928955,24.505451202392578,-0.25960060954093933
4,0,11.128058433532715,-38.61662292480469,6.860625743865967
4,1,11.087553024291992,-38.58622741699219,3.4771828651428223
4,2,14.4375638961792,-37.754703521728516,3.447377920150757
4,3,14.482654571533203,-37.801090240478516,6.819434642791748
13,0,-38.788368225097656,-12.042197227478027,7.064808368682861
13,1,-38.77996826171875,-12.076908111572266,3.676971673965454
13,2,-37.87885665893555,-15.397483825683594,3.7410690784454346
13,3,-37.797889709472656,-15.302166938781738,7.146591663360596
16,0,36.0849494934082,-5.924919128417969,17.227262496948242
16,1,36.06665802001953,-2.5081357955932617,17.228429794311523
16,2,36.230716705322266,-2.513624668121338,20.698291778564453
16,3,36.237876892089844,-5.9199934005737305,20.687437057495117
3,0,-35.46934127807617,17.07596778869629,6.5736775398254395
3,1,-35.49045181274414,17.080108642578125,3.2090554237365723
3,2,-37.092281341552734,14.048566818237305,3.287907361984253
3,3,-37.02140426635742,14.074790954589844,6.6907806396484375
7,0,-14.418386459350586,36.467411041259766,5.9465155601501465
7,1,-14.433670997619629,36.35835647583008,2.533475875854492
7,2,-17.496997833251953,34.82081985473633,2.5834505558013916
7,3,-17.48755645751953,34.96763229370117,5.975132465362549
11,0,-19.619421005249023,-35.658103942871094,7.160377502441406
11,1,-19.609403610229492,-35.71249771118164,3.794628858566284
11,2,-16.70610237121582,-37.538639068603516,3.8677167892456055
11,3,-16.74989891052246,-37.532676696777344,7.226366996765137
25,0,26.989782333374023,16.531328201293945,-0.7248351573944092
25,1,31.213577270507812,10.596024513244629,-0.7114109992980957
25,2,25.24645233154297,6.397007942199707,-0.5841615200042725
25,3,21.020763397216797,12.330041885375977,-0.6062244772911072
31,0,30.583784103393555,-3.2013368606567383,-0.4702538549900055
31,1,31.066787719726562,-10.483990669250488,-0.3175406754016876
31,2,23.76170539855957,-10.983642578125,-0.17314361035823822
31,3,23.247465133666992,-3.7187764644622803,-0.2604641020298004
