img,kamera,pfad,t1,t2,t3,r1,r2,r3
0,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0255.JPG,-5.579792032385531,12.250199192316233,41.94119500450446,1.6031877994537354,0.1728813648223877,-0.1707683503627777
1,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0247.JPG,3.107826610096421,2.506491904787066,105.574126918158,2.3362011909484863,1.9051096439361572,-0.17902705073356628
2,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0248.JPG,1.2232849333760258,19.06579514454063,70.2886179853507,1.919596552848816,1.2488799095153809,-0.6343765258789062
3,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0249.JPG,3.2770123793229975,22.715968106846603,68.68435723562901,1.907430648803711,2.0765485763549805,-0.47445207834243774
4,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0250.JPG,-5.651006989571252,-0.449250876126514,73.6622289370733,0.6818976998329163,2.6551358699798584,-1.0966458320617676
5,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0251.JPG,1.2647778448347127,29.634608059496713,38.693829022025255,0.20819412171840668,2.882483959197998,-1.1498628854751587
6,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0252.JPG,-3.9484601414209233,27.643350945457954,36.457575530009194,1.8848183155059814,1.5966359376907349,-0.6585125923156738
7,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0253.JPG,-2.2811218997595164,7.7218617793210935,72.82728841483622,2.1867117881774902,0.32166218757629395,-0.16767869889736176
8,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0254.JPG,-8.20930713516686,13.24191118969917,68.33935028353179,2.154973268508911,-0.5558702349662781,0.2945769727230072
9,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0256.JPG,-3.294013498448773,15.144856631267986,44.999556083385556,1.583112120628357,-0.30696311593055725,0.30597391724586487
10,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0257.JPG,-0.4894436261771131,19.387060114453725,41.27892623683896,1.091671109199524,1.405615210533142,-1.4016785621643066
11,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0258.JPG,-0.5245133318219459,17.463755563709,42.68329544306858,0.4477176368236542,1.9820809364318848,-1.964171051979065
12,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0259.JPG,-8.347184141876154,11.175438005018151,54.35443587652086,0.24353188276290894,-2.445354461669922,1.787440299987793
13,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0260.JPG,-1.1709531956189139,12.599591022006177,55.24976383452882,1.178451657295227,-2.0216832160949707,1.2100579738616943
14,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0261.JPG,-1.8309723363338168,33.67609111660876,83.30475888383295,1.0075494050979614,-2.471153497695923,1.0478627681732178
15,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0262.JPG,3.0739409580292345,26.848990480052745,83.6101896800939,0.9687350392341614,2.5488014221191406,-0.973784863948822
16,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0263.JPG,-0.2666804788069621,13.177929083374575,85.4013930806575,2.452969551086426,1.0654186010360718,-0.28440073132514954
17,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0264.JPG,-1.6594738239335833,8.129110256912327,94.6616310965733,1.8277621269226074,1.2624105215072632,-0.7070141434669495
18,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0265.JPG,1.089124334857238,17.643735348895017,90.60860680784361,1.3250128030776978,1.9427835941314697,-1.0992413759231567
19,0,../../bilderserien/PasspunktPos/djiMini2/DJI_0266.JPG,-3.8503371240319724,9.488817605535766,91.29261811267102,0.4134491980075836,-2.728142738342285,1.2375175952911377
