img,kamera,pfad,t1,t2,t3,r1,r2,r3
0,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera01.jpg,3.910960187164188,8.32568721979219,68.058341081486,2.5204519158994714,0.021931095420767967,-0.047561779522095865
1,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera02.jpg,2.1339620269293715,19.956198303952895,49.35240447739085,2.068629627037491,-0.008786981586866619,-0.015905038182545607
2,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera03.jpg,1.6264784797957947,4.599306573337447,35.41323482377651,1.7992220130298493,0.007561462769074505,-0.010406379495706034
3,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera04.jpg,1.6415283649485697,13.704405759671667,77.2121524790953,2.386428886489377,0.9632174574017706,-0.32789145027143435
4,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera05.jpg,1.8668172252446904,18.379121488134636,48.17497419950966,1.9720809374065122,0.8072508451711693,-0.49255642540224415
5,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera06.jpg,2.3655917955679175,12.101648581967336,29.762100072221504,1.3066597498417927,0.5355387720481011,-0.6966048338328137
6,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera07.jpg,3.6199057814759574,17.591323952584798,73.15402218044851,1.8307229351569787,1.8661966531988432,-0.6902514500491271
7,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera08.jpg,2.209532057270662,16.7236508786061,45.495873435750916,1.5738686217621822,1.5783574925482435,-0.9812312250720268
8,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera09.jpg,0.9756702209046081,12.044373118493471,29.54327291379248,1.151681957471707,1.1385782157613598,-1.2744413977633837
9,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera10.jpg,1.7369624188015291,15.034979164412933,66.38624265665625,1.0160952765073494,2.5399099470008433,-0.9463327389749111
10,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera11.jpg,0.8749623905797319,21.238488165355864,46.492387676912514,0.8944396021112127,2.2087573069060293,-1.3695892391716185
11,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera12.jpg,0.005494943264019546,10.291978786737937,29.198936463397857,0.6727697988038449,1.6818827876297395,-1.8361842619305133
12,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera13.jpg,0.44590703519939306,17.69119143229117,75.74886950341018,0.02255085372281491,-2.96248366892495,1.017400614183419
13,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera14.jpg,-2.311205630547494,20.632645473193612,44.515669173169336,-0.003651825838343722,2.62175867554238,-1.6747621250149614
14,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera15.jpg,-1.9282619381964272,9.403735259003575,29.995690326136035,-0.016084558616361166,2.090912366969632,-2.321831335059547
15,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera16.jpg,-0.5822414243074387,10.179180029929213,73.05334208294134,1.1188178988536963,-2.552751459806531,0.8020930138892495
16,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera17.jpg,-1.584175964214008,26.28499974681326,37.188025998138215,0.8686685784406184,-1.9184683846283008,1.6285507209811847
17,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera18.jpg,-2.477941626743285,16.096067854936205,29.206669976710753,0.7270808825421365,-1.5679050111052162,1.9364639190759436
18,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera19.jpg,-0.855353682268247,21.243996319509197,74.34896141591354,1.8638611483060865,-1.7532346631296976,0.6774750369605005
19,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera20.jpg,-0.46810827413978784,24.89398780028623,47.68926552022695,1.5480462293007848,-1.4830289035988349,0.9581563528180914
20,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera21.jpg,-0.4711118388125905,10.863616468117756,37.312403988166054,1.4385643298318744,-1.3470984291652286,1.081230365779226
21,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera22.jpg,0.7061296370383636,20.168486931692023,71.17169552128118,2.2548715652032256,-0.9177357154208095,0.33552544702209364
22,0,../../bilderserien/PasspunktPos/8a25d87e-9f2a-48da-872d-36ce0d6b66d9.jpg/camera23.jpg,-2.220437918778422,21.67013086146868,42.64328971644925,1.7777251457665904,-0.7659984786304291,0.5733409245816311
