marker,ecke,x,y,z
0,0,-7.706244945526123,8.038812637329102,-0.07637366652488708
0,1,7.754053115844727,7.719291687011719,-0.4002067446708679
0,2,7.643609046936035,-7.953652858734131,-0.27356842160224915
0,3,-7.907965271151865,-8.12732694192609,-0.16750306153800665
27,0,-29.97679060101487,7.519266785447317,0.1680389955221696
27,1,-27.257697661360265,14.225980978886515,0.06072114576094191
27,2,-20.553463803068297,11.501432190432572,0.06241990613070108
27,3,-23.266527802787387,4.788217496921438,0.2584813301339595
24,0,-15.433107690665912,26.917818767026354,-0.10980485965587194
24,1,-8.642772593509733,29.393556853499092,-0.25572549670287287
24,2,-6.1398993337912575,22.597028662915903,-0.23005831503242197
24,3,-12.91854616149733,20.11278052335315,-0.10885256179704993
23,0,-25.14054634163288,-2.7344525990375823,0.9023525592578221
23,1,-28.04695772309811,-2.6154749941594826,2.645598446148454
23,2,-27.909505269278437,0.7731734908775063,2.621152271500342
23,3,-25.01052188859521,0.6655493504001456,0.8777758635191979
18,0,-20.7091299046353,17.103950231975695,0.6097044162274395
18,1,-22.89568601409265,19.03357001885029,2.3193255918688007
18,2,-20.65947257742085,21.60674908331701,2.257715871892408
18,3,-18.45887424065592,19.674106020213586,0.5603581972138258
30,0,-4.139838279100748,-18.474124969837742,0.12693357020592602
30,1,-4.5489486552081475,-11.276293614193179,0.12739577736183724
30,2,2.70790174007647,-10.902415700451433,0.0006975662155618511
30,3,3.119135979439116,-18.070271238319624,0.0535343696677888
29,0,-27.19245579090181,-14.933778230216479,0.49983606239716816
29,1,-28.164970057291292,-7.854668958573291,0.38093011073608646
29,2,-21.07275172842104,-7.096553027544183,0.1634142249433564
29,3,-20.02855047760299,-14.032303518779448,0.4185572692859501
28,0,-11.09237727674265,-35.624253466308296,0.6160401846003458
28,1,-17.876232377715024,-33.044366848678685,0.6171096925464163
28,2,-15.307196427677278,-26.250876481222917,0.5121684404901968
28,3,-8.523412304166273,-28.823522796819915,0.5406818238624105
22,0,16.565866924464206,19.220332710428607,0.27289368628090355
22,1,18.78557603549936,21.189128209512194,1.9210330345690472
22,2,21.049215559586298,18.60699425144682,1.9374515126670921
22,3,18.830098419526553,16.651093401679603,0.2753105397609433
20,0,0.75804489802966,-30.504216730240692,1.1430373218266077
20,1,0.7797994029304741,-33.4118795277541,2.8706135378253106
20,2,-2.646882187205048,-33.40731236554971,2.897887765872372
20,3,-2.669775857362932,-30.48783773215202,1.1590253524115857
8,0,-37.8978393112276,4.010395710652044,26.682645417038163
8,1,-37.86086888099784,0.6365540755472244,26.767621140931592
8,2,-37.62338307269383,0.7507461638153297,30.14881562858318
8,3,-37.665601740814324,4.115563483286991,30.031766157395595
2,0,-23.572506680285287,28.22968334781693,17.48758723717039
2,1,-25.927697446099977,25.801300073048694,17.5510679364404
2,2,-26.09941635519251,26.06355923070331,20.93861210029786
2,3,-23.71561833291674,28.46465694896153,20.904994310029192
17,0,-21.67882897905145,-21.771201796008107,1.1933987910452493
17,1,-23.718289816779784,-23.865741988398987,2.9383108506386453
17,2,-26.162281895560156,-21.470084106034356,2.95609482137884
17,3,-24.14760578895684,-19.377575645344393,1.195431599517558
12,0,-30.80442860349118,-23.329505200632212,21.02463766954676
12,1,-28.4304972059176,-25.751448403797312,21.00970592648433
12,2,-28.28519382768665,-25.653121864787824,24.397383711141796
12,3,-30.660671732488225,-23.229510399887136,24.427853155051316
5,0,-6.050821427267258,-38.10780058857867,18.835746793631117
5,1,-2.6522784766105887,-38.056885268786075,18.78676203986498
5,2,-2.6026932463726653,-37.7940243430335,22.205420530437035
5,3,-6.0033492914534605,-37.82353494395946,22.273842139724398
21,0,-3.067257114312242,25.641732484851747,0.5116891326894131
21,1,-3.212846960721236,28.552346173576264,2.191406677594225
21,2,0.194389606969554,28.779930260559727,2.1485421812978722
21,3,0.35941344154715704,25.850392512457606,0.4481165495566649
10,0,28.600645101615928,21.592790221849643,20.971445494982802
10,1,26.18408892784802,23.988752627244356,20.955467657929624
10,2,26.047790451258617,23.830236843497172,24.382529170671894
10,3,28.479284355299047,21.508149531368094,24.39765041858694
1,0,21.394641483735267,-30.775870057712925,18.30600753600016
1,1,23.812036722813684,-28.38925536395673,18.252842058591764
1,2,23.770776531730966,-28.309204360754965,21.658881613975794
1,3,21.355391245512166,-30.676001503697716,21.71841126413822
9,0,3.8283756766554182,35.55208210051141,17.462307807380146
9,1,0.42493556112315556,35.59074890322387,17.5427144432815
9,2,0.5413414414930307,35.65858984244046,20.972558943004625
9,3,3.9260005799567366,35.63383413987406,20.886398530566186
19,0,13.136992033180801,-23.5886052922476,0.7582795375016727
19,1,14.625846315407204,-26.11953897250992,2.564538669058947
19,2,11.627759807108053,-27.84134773997706,2.6268275456142813
19,3,10.109675384656565,-25.309073119926808,0.8740158471285875
26,0,4.763775169087483,31.69072657605901,-0.20246546207865973
26,1,11.97674275771386,32.077037738005444,-0.31407340444678894
26,2,12.328791394640284,24.856382904417828,-0.32108775531010153
26,3,5.113267455611496,24.505376697869742,-0.25959913142112234
4,0,11.128100158510678,-38.616386554186256,6.860522425101039
4,1,11.087518050296245,-38.5861255383958,3.4770618785935814
4,2,14.437497659785478,-37.75458448446974,3.447202934173191
4,3,14.482646844022526,-37.80080022177684,6.819271468717628
13,0,-38.78835058395358,-12.042150742359144,7.064746106176422
13,1,-38.78000166173966,-12.077050510137145,3.676899135972271
13,2,-37.878738932606474,-15.397551445297722,3.7409650398651495
13,3,-37.79787676915621,-15.302185248292389,7.146557500019399
16,0,36.084914575935606,-5.924927541387964,17.227332512518085
16,1,36.066635599303495,-2.5080868045782525,17.228466034028507
16,2,36.230654450837115,-2.513579921133866,20.69828371538821
16,3,36.23786313510276,-5.920031565077351,20.687502985569605
3,0,-35.46939829679936,17.076385269828993,6.573661908141298
3,1,-35.49052307032124,17.080366422080104,3.208898280779567
3,2,-37.092233951209515,14.04877945366744,3.2876597265743706
3,3,-37.021460382232185,14.075030834454294,6.6905902393355605
7,0,-14.41818804828249,36.46802508307087,5.946648684290023
7,1,-14.433540082873298,36.35895634959537,2.5336237485992403
7,2,-17.496798246894155,34.8212771135134,2.583577779410282
7,3,-17.48734026232229,34.96806142440496,5.975287465185741
11,0,-19.6193787916914,-35.65798036032682,7.160279744028985
11,1,-19.60930988014557,-35.7123378949433,3.794386718298286
11,2,-16.70606742959264,-37.538655501381285,3.8675312948465534
11,3,-16.749853641348814,-37.5326506582136,7.226264599855492
25,0,26.98989764123723,16.531502316767025,-0.7244641541959174
25,1,31.213758732307628,10.596196486111472,-0.7110233267906668
25,2,25.246501918434202,6.3971577742890995,-0.5837554141496981
25,3,21.02083547449319,12.330125014632833,-0.6058047461668642
31,0,30.583458620278602,-3.2012655309643954,-0.47049400713631584
31,1,31.06658440156356,-10.483935918625704,-0.31772716571461246
31,2,23.76142467691725,-10.983645617795082,-0.17330572851123366
31,3,23.24709454199572,-3.7187600035410617,-0.26061179877859747
